newspaper,teaser,date,url
Die Zeit," Olaf Scholz, Robert Habeck und Christian Lindner demonstrieren beim ersten Auftrittt zu dritt Harmonie. Trotzdem werden künftige Bruchstellen spürbar. ",07.12.2021,https://www.zeit.de/politik/deutschland/2021-12/ampel-koalition-koalitionsvertrag-pressekonferenz
Die Zeit," Konzentriert und zugewandt, aber auch ohne neue Akzente bestreitet Baerbock ihren ersten öffentlichen Auftritt nach dem Urlaub. Ein Ausblick auf den Rest des Wahlkampfs? ",21.07.2021,https://www.zeit.de/politik/deutschland/2021-07/annalena-baerbock-kanzlerkandidatin-leserforum-frankfurt
Die Zeit," Konzentriert und zugewandt, aber auch ohne neue Akzente bestreitet Baerbock ihren ersten öffentlichen Auftritt nach dem Urlaub. Ein Ausblick auf den Rest des Wahlkampfs? ",21.07.2021,https://www.zeit.de/politik/deutschland/2021-07/annalena-baerbock-kanzlerkandidatin-leserforum-frankfurt#comments
